stats_date,customer_segment,region,total_spend,order_count,new_customers,returning_customers,churn_count
2025-10-01,Enterprise,Northeast,17308.64,13,1,7,0
2025-10-01,Enterprise,Southeast,13490.59,10,0,7,0
2025-10-01,Enterprise,Midwest,12868.56,10,0,7,0
2025-10-01,Enterprise,West,19393.29,15,1,9,0
2025-10-01,Mid-Market,Northeast,7526.06,31,3,17,0
2025-10-01,Mid-Market,Southeast,5697.55,23,2,14,0
2025-10-01,Mid-Market,Midwest,4648.92,19,2,13,0
2025-10-01,Mid-Market,West,6174.45,25,3,19,0
2025-10-01,Small Business,Northeast,2663.49,53,10,33,1
2025-10-01,Small Business,Southeast,1815.52,36,7,18,0
2025-10-01,Small Business,Midwest,2152.49,43,8,28,1
2025-10-01,Small Business,West,2552.21,51,10,34,2
2025-10-02,Enterprise,Northeast,16974.18,13,1,7,0
2025-10-02,Enterprise,Southeast,12964.87,10,0,7,0
2025-10-02,Enterprise,Midwest,16107.6,12,1,9,0
2025-10-02,Enterprise,West,13444.61,10,0,5,0
2025-10-02,Mid-Market,Northeast,8120.64,33,4,17,0
2025-10-02,Mid-Market,Southeast,5006.45,20,2,11,0
2025-10-02,Mid-Market,Midwest,5032.15,20,2,13,0
2025-10-02,Mid-Market,West,7358.25,30,3,15,0
2025-10-02,Small Business,Northeast,2167.27,43,8,26,1
2025-10-02,Small Business,Southeast,1883.05,37,7,26,1
2025-10-02,Small Business,Midwest,1534.27,30,6,22,1
2025-10-02,Small Business,West,2417.55,48,9,32,1
2025-10-03,Enterprise,Northeast,15094.68,12,1,6,0
2025-10-03,Enterprise,Southeast,13065.87,10,0,5,0
2025-10-03,Enterprise,Midwest,13829.21,11,0,8,0
2025-10-03,Enterprise,West,18784.43,15,1,8,0
2025-10-03,Mid-Market,Northeast,6295.54,26,3,13,0
2025-10-03,Mid-Market,Southeast,6205.66,25,3,12,0
2025-10-03,Mid-Market,Midwest,5182.06,21,2,15,0
2025-10-03,Mid-Market,West,6373.13,26,3,15,0
2025-10-03,Small Business,Northeast,2764.39,55,11,42,2
2025-10-03,Small Business,Southeast,1918.86,38,7,24,0
2025-10-03,Small Business,Midwest,1911.12,38,7,26,0
2025-10-03,Small Business,West,2529.32,50,10,35,0
2025-10-04,Enterprise,Northeast,12136.06,9,0,6,0
2025-10-04,Enterprise,Southeast,8266.96,6,0,4,0
2025-10-04,Enterprise,Midwest,7898.52,6,0,4,0
2025-10-04,Enterprise,West,9912.48,7,0,5,0
2025-10-04,Mid-Market,Northeast,4818.02,20,2,13,0
2025-10-04,Mid-Market,Southeast,3249.84,13,1,9,0
2025-10-04,Mid-Market,Midwest,3445.05,14,1,9,0
2025-10-04,Mid-Market,West,4242.34,17,2,11,0
2025-10-04,Small Business,Northeast,1536.07,30,6,18,0
2025-10-04,Small Business,Southeast,1385.99,27,5,16,1
2025-10-04,Small Business,Midwest,1163.95,23,4,18,0
2025-10-04,Small Business,West,1407.13,28,5,15,0
2025-10-05,Enterprise,Northeast,11478.96,9,0,6,0
2025-10-05,Enterprise,Southeast,8032.45,6,0,4,0
2025-10-05,Enterprise,Midwest,7775.68,6,0,3,0
2025-10-05,Enterprise,West,7925.12,6,0,3,0
2025-10-05,Mid-Market,Northeast,4747.76,19,2,10,0
2025-10-05,Mid-Market,Southeast,3519.53,14,1,7,0
2025-10-05,Mid-Market,Midwest,3549.65,14,1,8,0
2025-10-05,Mid-Market,West,4149.77,17,2,11,0
2025-10-05,Small Business,Northeast,1594.91,31,6,17,0
2025-10-05,Small Business,Southeast,1010.47,20,4,11,0
2025-10-05,Small Business,Midwest,1279.21,25,5,15,0
2025-10-05,Small Business,West,1350.22,27,5,21,0
2025-10-06,Enterprise,Northeast,16525.24,13,1,9,0
2025-10-06,Enterprise,Southeast,16761.72,13,1,8,0
2025-10-06,Enterprise,Midwest,13288.44,10,0,5,0
2025-10-06,Enterprise,West,16147.22,12,1,9,0
2025-10-06,Mid-Market,Northeast,6964.31,29,3,22,0
2025-10-06,Mid-Market,Southeast,5400.4,22,2,12,0
2025-10-06,Mid-Market,Midwest,6241.89,26,3,15,0
2025-10-06,Mid-Market,West,7753.54,32,3,20,0
2025-10-06,Small Business,Northeast,2773.7,55,11,35,0
2025-10-06,Small Business,Southeast,1659.8,33,6,18,0
2025-10-06,Small Business,Midwest,1451.1,29,5,17,0
2025-10-06,Small Business,West,2055.46,41,8,29,1
2025-10-07,Enterprise,Northeast,18237.69,14,1,9,0
2025-10-07,Enterprise,Southeast,14483.63,11,0,6,0
2025-10-07,Enterprise,Midwest,11056.44,8,0,4,0
2025-10-07,Enterprise,West,14717.71,11,0,7,0
2025-10-07,Mid-Market,Northeast,7024.55,29,3,20,0
2025-10-07,Mid-Market,Southeast,6732.85,28,3,14,0
2025-10-07,Mid-Market,Midwest,4915.06,20,2,12,0
2025-10-07,Mid-Market,West,5803.35,24,2,16,0
2025-10-07,Small Business,Northeast,2546.49,50,10,37,0
2025-10-07,Small Business,Southeast,2142.3,42,8,30,1
2025-10-07,Small Business,Midwest,1548.14,30,6,15,1
2025-10-07,Small Business,West,2329.02,46,9,25,2
2025-10-08,Enterprise,Northeast,19561.98,15,1,10,0
2025-10-08,Enterprise,Southeast,15666.52,12,1,7,0
2025-10-08,Enterprise,Midwest,12648.97,10,0,6,0
2025-10-08,Enterprise,West,14385.2,11,0,5,0
2025-10-08,Mid-Market,Northeast,8543.93,35,4,25,0
2025-10-08,Mid-Market,Southeast,5704.41,23,2,16,0
2025-10-08,Mid-Market,Midwest,6036.89,25,3,14,0
2025-10-08,Mid-Market,West,7373.35,30,3,22,0
2025-10-08,Small Business,Northeast,2704.58,54,10,41,2
2025-10-08,Small Business,Southeast,2219.24,44,8,26,0
2025-10-08,Small Business,Midwest,1472.83,29,5,17,0
2025-10-08,Small Business,West,1899.77,37,7,28,1
2025-10-09,Enterprise,Northeast,20229.72,16,1,9,0
2025-10-09,Enterprise,Southeast,14564.98,11,0,5,0
