campaign_date,channel,region,impressions,clicks,spend,conversions,conversion_revenue
2025-10-01,Email,Northeast,67178,1766,671.79,77,13213.89
2025-10-01,Email,Southeast,42301,1430,423.01,108,14883.84
2025-10-01,Email,Midwest,38618,1603,386.18,112,19732.05
2025-10-01,Email,West,44623,2581,446.24,96,16333.14
2025-10-01,Social Media,Northeast,240702,12464,2407.02,477,43615.53
2025-10-01,Social Media,Southeast,166974,8171,1669.75,599,43604.93
2025-10-01,Social Media,Midwest,157801,2216,1578.02,88,11406.27
2025-10-01,Social Media,West,214512,9698,2145.12,267,46542.88
2025-10-01,Paid Search,Northeast,114512,5380,4294.2,507,89211.26
2025-10-01,Paid Search,Southeast,67037,2216,2513.91,61,10068.11
2025-10-01,Paid Search,Midwest,73093,1120,2741.01,72,11829.22
2025-10-01,Paid Search,West,89832,1443,3368.71,164,8039.77
2025-10-01,Display Ads,Northeast,409407,24032,2047.04,2285,437208.93
2025-10-01,Display Ads,Southeast,303716,6365,1518.58,427,67510.37
2025-10-01,Display Ads,Midwest,298999,8735,1495.0,1002,45706.75
2025-10-01,Display Ads,West,329447,3944,1647.24,220,43623.38
2025-10-02,Email,Northeast,50829,3013,508.3,332,49841.09
2025-10-02,Email,Southeast,41119,1380,411.19,123,6793.37
2025-10-02,Email,Midwest,41368,603,413.68,62,11559.38
2025-10-02,Email,West,64320,3057,643.21,237,11838.56
2025-10-02,Social Media,Northeast,238216,11441,2382.17,1093,48394.04
2025-10-02,Social Media,Southeast,160656,2314,1606.57,260,15119.75
2025-10-02,Social Media,Midwest,172098,5816,1720.99,630,38870.98
2025-10-02,Social Media,West,199014,9671,1990.14,276,18293.22
2025-10-02,Paid Search,Northeast,77763,4503,2916.14,195,23447.16
2025-10-02,Paid Search,Southeast,76133,4497,2855.0,410,55832.69
2025-10-02,Paid Search,Midwest,71698,1677,2688.68,174,9829.07
2025-10-02,Paid Search,West,92286,2284,3460.76,108,12160.59
