order_date,product_category,region,revenue,quantity,discount_amount,order_count,refund_amount
2025-10-01,Electronics,Northeast,6334.62,31,142.54,11,233.26
2025-10-01,Electronics,Southeast,5353.4,26,584.69,8,0.0
2025-10-01,Electronics,Midwest,3653.63,18,152.95,8,36.32
2025-10-01,Electronics,West,5829.75,29,434.28,10,0.0
2025-10-01,Clothing,Northeast,4045.58,80,83.54,43,0.0
2025-10-01,Clothing,Southeast,2808.3,56,99.83,32,0.0
2025-10-01,Clothing,Midwest,2260.17,45,67.06,24,0.0
2025-10-01,Clothing,West,3705.41,74,344.5,34,0.0
2025-10-01,Home & Garden,Northeast,2854.24,39,214.65,21,0.0
2025-10-01,Home & Garden,Southeast,2861.71,40,222.46,20,32.61
2025-10-01,Home & Garden,Midwest,2060.45,28,57.65,10,28.64
2025-10-01,Home & Garden,West,2899.25,40,163.76,16,38.7
2025-10-01,Sports,Northeast,2819.19,42,239.08,20,102.78
2025-10-01,Sports,Southeast,1730.72,25,100.29,14,0.0
2025-10-01,Sports,Midwest,1841.0,27,162.86,14,0.0
2025-10-01,Sports,West,1961.56,29,45.53,11,20.69
2025-10-02,Electronics,Northeast,7062.98,35,760.24,13,0.0
2025-10-02,Electronics,Southeast,4791.26,23,534.01,10,59.08
2025-10-02,Electronics,Midwest,4610.46,23,213.35,10,0.0
2025-10-02,Electronics,West,5278.68,26,221.35,15,0.0
2025-10-02,Clothing,Northeast,3010.91,60,74.4,19,0.0
2025-10-02,Clothing,Southeast,3350.5,67,208.45,21,0.0
2025-10-02,Clothing,Midwest,3235.81,64,235.93,37,0.0
2025-10-02,Clothing,West,2655.15,53,244.47,26,0.0
2025-10-02,Home & Garden,Northeast,2720.19,38,228.76,12,0.0
2025-10-02,Home & Garden,Southeast,2453.72,34,283.11,19,61.41
2025-10-02,Home & Garden,Midwest,1960.79,27,218.16,15,62.64
2025-10-02,Home & Garden,West,2869.87,40,101.26,21,0.0
2025-10-02,Sports,Northeast,2667.48,40,194.82,12,0.0
2025-10-02,Sports,Southeast,1615.58,24,182.41,13,0.0
2025-10-02,Sports,Midwest,1661.41,24,42.85,13,0.0
2025-10-02,Sports,West,1835.38,27,125.91,8,0.0
2025-10-03,Electronics,Northeast,6638.0,33,217.99,14,0.0
2025-10-03,Electronics,Southeast,4530.11,22,485.82,9,122.15
2025-10-03,Electronics,Midwest,4913.88,24,197.12,9,0.0
2025-10-03,Electronics,West,5829.73,29,372.0,13,65.5
2025-10-03,Clothing,Northeast,3366.84,67,265.41,24,11.95
2025-10-03,Clothing,Southeast,3157.32,63,135.43,36,0.0
2025-10-03,Clothing,Midwest,2236.53,44,97.96,22,14.8
2025-10-03,Clothing,West,3874.88,77,298.77,34,0.0
2025-10-03,Home & Garden,Northeast,3369.0,47,131.53,15,0.0
2025-10-03,Home & Garden,Southeast,2423.58,33,161.66,17,0.0
2025-10-03,Home & Garden,Midwest,2685.75,37,80.15,15,0.0
2025-10-03,Home & Garden,West,3147.84,44,141.23,15,0.0
2025-10-03,Sports,Northeast,2325.01,34,111.26,12,0.0
2025-10-03,Sports,Southeast,1954.5,29,207.44,13,97.65
2025-10-03,Sports,Midwest,2041.94,30,238.7,17,0.0
2025-10-03,Sports,West,1906.35,28,130.71,10,0.0
2025-10-04,Electronics,Northeast,6422.94,32,371.87,19,251.8
2025-10-04,Electronics,Southeast,6383.02,31,397.67,18,0.0
2025-10-04,Electronics,Midwest,5980.5,29,549.25,10,289.67
2025-10-04,Electronics,West,7376.46,36,547.48,18,215.46
2025-10-04,Clothing,Northeast,4685.34,93,493.24,32,0.0
2025-10-04,Clothing,Southeast,3244.97,64,125.2,30,0.0
2025-10-04,Clothing,Midwest,3138.23,62,100.39,35,93.29
2025-10-04,Clothing,West,4494.86,89,278.33,42,0.0
2025-10-04,Home & Garden,Northeast,4578.14,64,185.08,32,90.6
2025-10-04,Home & Garden,Southeast,3473.2,48,173.66,18,0.0
2025-10-04,Home & Garden,Midwest,2424.88,33,159.63,19,0.0
2025-10-04,Home & Garden,West,2964.76,41,122.49,15,0.0
2025-10-04,Sports,Northeast,3595.32,53,388.03,21,149.88
2025-10-04,Sports,Southeast,2811.68,42,228.22,25,0.0
2025-10-04,Sports,Midwest,1879.32,28,191.15,10,0.0
2025-10-04,Sports,West,3362.14,50,112.39,16,93.0
2025-10-05,Electronics,Northeast,7089.73,35,570.6,18,224.83
2025-10-05,Electronics,Southeast,5886.36,29,405.29,16,0.0
2025-10-05,Electronics,Midwest,4895.98,24,305.3,9,188.77
2025-10-05,Electronics,West,7542.14,37,348.41,19,0.0
2025-10-05,Clothing,Northeast,4544.63,90,95.29,29,0.0
2025-10-05,Clothing,Southeast,4530.13,90,337.76,49,0.0
2025-10-05,Clothing,Midwest,3015.92,60,98.75,23,0.0
2025-10-05,Clothing,West,4798.15,95,508.94,54,59.86
2025-10-05,Home & Garden,Northeast,3280.36,45,321.51,25,0.0
2025-10-05,Home & Garden,Southeast,3406.86,47,120.79,27,0.0
2025-10-05,Home & Garden,Midwest,3482.16,48,351.97,27,128.24
2025-10-05,Home & Garden,West,3335.03,46,377.13,24,0.0
2025-10-05,Sports,Northeast,3507.82,52,163.75,27,152.97
2025-10-05,Sports,Southeast,2972.94,44,125.59,23,0.0
2025-10-05,Sports,Midwest,2157.66,32,214.76,11,20.84
2025-10-05,Sports,West,2663.53,39,283.49,23,85.43
2025-10-06,Electronics,Northeast,5759.23,28,680.25,12,0.0
2025-10-06,Electronics,Southeast,4230.68,21,495.16,7,0.0
2025-10-06,Electronics,Midwest,4077.84,20,125.76,8,0.0
2025-10-06,Electronics,West,5090.09,25,410.37,11,0.0
2025-10-06,Clothing,Northeast,3710.29,74,168.72,37,171.71
2025-10-06,Clothing,Southeast,3046.14,60,280.07,31,0.0
2025-10-06,Clothing,Midwest,2553.36,51,68.93,25,0.0
2025-10-06,Clothing,West,3054.37,61,320.1,31,0.0
2025-10-06,Home & Garden,Northeast,2771.14,38,168.59,15,17.64
